category,city,district,name,lng,lat,error
古城地名,南京市,玄武区,南京,118.797779,32.048644,
古城地名,南京市,鼓楼区,金陵,118.767241,32.109674,
古城地名,南京市,玄武区,建康,118.797779,32.048644,
古城地名,南京市,玄武区,建业,118.797779,32.048644,
古城地名,南京市,秦淮区,白下,118.794792,32.039065,
古城地名,南京市,建邺区,建邺,118.731642,32.003343,
古城地名,南京市,鼓楼区,石头城,118.751522,32.056100,
古城地名,南京市,栖霞区,江乘,118.909117,32.096423,
古城地名,南京市,江宁区,秣陵,118.831668,31.840047,
古城地名,南京市,江宁区,丹阳,118.722371,31.630277,
古城地名,南京市,江宁区,湖熟,118.978818,31.867717,
古城地名,南京市,江宁区,江宁,118.839510,31.953195,
古城地名,南京市,浦口区,浦口,118.627165,32.059796,
古城地名,南京市,六合区,棠邑,118.822241,32.323235,
古城地名,无锡市,梁溪区,无锡,120.303551,31.566226,
古城地名,无锡市,江阴市,江阴,120.284794,31.921642,
古城地名,无锡市,宜兴市,宜兴,119.821873,31.338429,
古城地名,徐州市,鼓楼区,徐州,117.185643,34.288736,
古城地名,徐州市,丰县,丰县,116.658111,34.697232,
古城地名,徐州市,沛县,沛县,116.936353,34.760761,
古城地名,徐州市,邳州市,邳州,118.012511,34.339208,
古城地名,常州市,天宁区,常州,119.999439,31.792320,
古城地名,常州市,天宁区,晋陵,119.971961,31.770681,
古城地名,常州市,天宁区,毗陵,119.971679,31.770789,
古城地名,常州市,天宁区,延陵,119.971389,31.771027,
古城地名,常州市,武进区,武进,119.942441,31.701252,
古城地名,常州市,金坛区,金坛,119.587503,31.722384,
古城地名,常州市,溧阳市,溧阳,119.484164,31.416967,
古城地名,苏州市,姑苏区,苏州,120.617367,31.335648,
古城地名,苏州市,吴江区,吴江,120.645728,31.138525,
古城地名,苏州市,姑苏区,姑苏,120.617367,31.335648,
古城地名,苏州市,常熟市,常熟,120.752512,31.656016,
古城地名,苏州市,昆山市,昆山,120.980795,31.385476,
古城地名,南通市,海门区,海门,121.182016,31.869418,
古城地名,南通市,如皋市,如皋,120.574028,32.371493,
古城地名,淮安市,淮安区,淮安,119.141183,33.502960,
古城地名,淮安市,淮阴区,淮阴,119.034895,33.632588,
古城地名,淮安市,清江浦区,清江浦,119.026662,33.552579,
古城地名,盐城市,亭湖区,盐渎,120.196148,33.391414,
古城地名,扬州市,广陵区,扬州,119.431785,32.395654,
古城地名,扬州市,广陵区,广陵,119.431785,32.395654,
古城地名,扬州市,江都区,江都,119.569684,32.435710,
古城地名,扬州市,宝应县,宝应,119.358389,33.241125,
古城地名,扬州市,高邮市,高邮,119.458920,32.781606,
古城地名,镇江市,京口区,镇江,119.470186,32.198285,
古城地名,泰州市,海陵区,泰州,119.923825,32.492480,
古城地名,泰州市,海陵区,海陵,119.923825,32.492480,
古城地名,泰州市,兴化市,兴化,119.852550,32.911952,
古城地名,泰州市,泰兴市,泰兴,120.051475,32.173072,
古城地名,宿迁市,沭阳县,沭阳,118.804321,34.110642,
古镇地名,南京市,高淳区,淳溪,118.886021,31.327589,
古镇地名,南京市,雨花台区,西善桥,118.721026,31.959505,
古镇地名,南京市,栖霞区,龙潭,119.067561,32.182233,
古镇地名,南京市,江宁区,汤山,119.047932,32.054127,
古镇地名,南京市,江宁区,麒麟,118.929494,32.041580,
古镇地名,南京市,江宁区,东山,118.818936,31.964272,
古镇地名,南京市,江宁区,牧龙,118.576968,31.811653,
古镇地名,南京市,江宁区,禄口,118.862283,31.775556,
古镇地名,南京市,浦口区,乌江,118.469891,31.865945,
古镇地名,南京市,六合区,瓜埠,118.891468,32.263271,
古镇地名,南京市,高淳区,固城,118.883403,31.340651,
古镇地名,南京市,建邺区,上新河,118.721461,32.024909,
古镇地名,南京市,六合区,长芦,118.813435,32.260494,
古镇地名,无锡市,锡山区,荡口,120.542888,31.524897,
古镇地名,无锡市,新吴区,梅里,120.433837,31.542739,
古镇地名,无锡市,江阴市,长泾,120.483499,31.747647,
古镇地名,无锡市,宜兴市,周铁,119.996704,31.436495,
古镇地名,徐州市,睢宁县,古邳,117.883616,34.108083,
古镇地名,徐州市,新沂市,窑湾,118.073557,34.176541,
古镇地名,徐州市,邳州市,土山,117.847798,34.222693,
古镇地名,常州市,天宁区,红梅,119.985976,31.784776,
古镇地名,常州市,天宁区,兰陵,119.948251,31.757028,
古镇地名,常州市,新北区,奔牛,119.818194,31.852895,
古镇地名,常州市,新北区,孟河,119.847032,32.009440,
古镇地名,常州市,武进区,洛阳,120.076955,31.645267,
古镇地名,常州市,武进区,雪堰,120.052237,31.528329,
古镇地名,常州市,金坛区,儒林,119.619422,31.586178,
古镇地名,苏州市,虎丘区,枫桥,120.558473,31.313414,
古镇地名,苏州市,虎丘区,浒墅关,120.537833,31.341436,
古镇地名,苏州市,吴中区,木渎,120.523484,31.254565,
古镇地名,苏州市,吴中区,甪直,120.860847,31.264260,
古镇地名,苏州市,吴中区,光福,120.399296,31.290042,
古镇地名,苏州市,吴中区,东山,120.419620,31.081563,
古镇地名,苏州市,吴中区,香山,120.410315,31.227057,
古镇地名,苏州市,吴中区,胥口,120.487328,31.233639,
古镇地名,苏州市,姑苏区,虎丘,120.581560,31.335813,
古镇地名,苏州市,姑苏区,平江,120.619880,31.317839,
古镇地名,苏州市,吴江区,盛泽,120.654746,30.901990,
古镇地名,苏州市,吴江区,平望,120.639952,30.975131,
古镇地名,苏州市,吴江区,黎里,120.741806,31.000550,
古镇地名,苏州市,吴江区,同里,120.715857,31.158522,
古镇地名,苏州市,吴江区,震泽,120.509492,30.912321,
古镇地名,苏州市,常熟市,古里,120.830271,31.635846,
古镇地名,苏州市,张家港市,凤凰,120.627960,31.787765,
古镇地名,苏州市,昆山市,周庄,120.850928,31.114658,
古镇地名,苏州市,昆山市,巴城,120.864840,31.447036,
古镇地名,苏州市,昆山市,锦溪,120.906852,31.177315,
古镇地名,苏州市,昆山市,千灯,121.002875,31.271323,
古镇地名,苏州市,太仓市,浏河,121.124708,31.437618,
古镇地名,苏州市,太仓市,沙溪,121.064344,31.567886,
古镇地名,南通市,崇川区,狼山镇,120.892253,31.954306,
古镇地名,南通市,如东县,栟茶,120.894965,32.529852,
古镇地名,南通市,如皋市,白蒲,120.766727,32.247709,
古镇地名,南通市,如东县,掘港,121.182332,32.312362,
古镇地名,淮安市,淮安区,河下,119.130978,33.510359,
古镇地名,淮安市,淮安区,平桥,119.216074,33.379821,
古镇地名,淮安市,淮阴区,马头,118.933101,33.543666,
古镇地名,淮安市,淮阴区,渔沟,118.892335,33.701621,
古镇地名,淮安市,洪泽区,蒋坝,118.737630,33.106149,
古镇地名,淮安市,涟水县,高沟,119.188811,34.016876,
古镇地名,盐城市,东台市,安丰,120.401990,32.735416,
古镇地名,盐城市,东台市,富安,120.474118,32.678567,
古镇地名,扬州市,广陵区,湾头,119.572309,32.263875,
古镇地名,扬州市,邗江区,甘泉,119.396279,32.381415,
古镇地名,扬州市,邗江区,瓜洲,119.380430,32.251513,
古镇地名,扬州市,江都区,大桥,119.715889,32.368935,
古镇地名,扬州市,江都区,邵伯,119.519324,32.521422,
古镇地名,扬州市,宝应县,氾水,119.406285,33.097904,
古镇地名,扬州市,宝应县,射阳,119.358389,33.241125,
