category,city,district,name,lng,lat,error
道路街巷类,南京市,玄武区,成贤街,118.795834,32.053849,
道路街巷类,南京市,玄武区,汉府街,118.802593,32.042064,
道路街巷类,南京市,秦淮区,乌衣巷,118.791468,32.017761,
道路街巷类,南京市,秦淮区,御道街,118.816086,32.025065,
道路街巷类,南京市,秦淮区,状元境,118.787571,32.022427,
道路街巷类,南京市,秦淮区,花露岗,118.794792,32.039065,
道路街巷类,南京市,秦淮区,贡院街,118.790293,32.020507,
道路街巷类,南京市,秦淮区,长干里,118.794792,32.039065,
道路街巷类,南京市,鼓楼区,虎踞关,118.763679,32.050706,
道路街巷类,南京市,鼓楼区,龙蟠里,118.764603,32.045871,
道路街巷类,南京市,六合区,专诸巷,118.844891,32.340280,
道路街巷类,南京市,六合区,瓜步街,118.822241,32.323235,
道路街巷类,南京市,高淳区,漆桥老街,118.992783,31.379475,
道路街巷类,南京市,高淳区,高淳老街,118.867978,31.319936,
道路街巷类,无锡市,梁溪区,南长街,120.322149,31.551464,
道路街巷类,无锡市,江阴市,刘伶巷,120.273068,31.899655,
道路街巷类,无锡市,宜兴市,蜀山街,119.861585,31.263637,
道路街巷类,徐州市,鼓楼区,府署街,117.185643,34.288736,
道路街巷类,徐州市,云龙区,彭城路,117.188113,34.259489,
道路街巷类,徐州市,泉山区,苏堤路,117.176222,34.252475,
道路街巷类,常州市,天宁区,青果巷,119.956998,31.772501,
道路街巷类,常州市,钟楼区,青云坊,119.954695,31.778161,
道路街巷类,常州市,新北区,孟河老街,119.847032,32.009440,
道路街巷类,常州市,溧阳市,平陵路,119.484969,31.423765,
道路街巷类,苏州市,姑苏区,干将路,120.636260,31.309397,
道路街巷类,苏州市,姑苏区,观前街,120.626373,31.311266,
道路街巷类,苏州市,姑苏区,平江路,120.632949,31.317244,
道路街巷类,苏州市,姑苏区,山塘街,120.603221,31.315476,
道路街巷类,苏州市,姑苏区,桃花坞大街,120.616536,31.320231,
道路街巷类,苏州市,姑苏区,吴趋坊,120.610509,31.313241,
道路街巷类,苏州市,姑苏区,相王路,120.640324,31.296204,
道路街巷类,苏州市,姑苏区,专诸巷,120.606654,31.313233,
道路街巷类,苏州市,常熟市,言子巷,120.752512,31.656016,
道路街巷类,苏州市,昆山市,三贤街,120.980795,31.385476,
道路街巷类,南通市,崇川区,寺街,120.862729,32.020268,
道路街巷类,南通市,通州区,西大街,121.073742,32.065972,
道路街巷类,南通市,海门区,余东老街,121.359819,32.013719,
道路街巷类,南通市,如东县,良臣巷,121.184950,32.331584,
道路街巷类,南通市,如皋市,东大街,120.526958,32.146071,
道路街巷类,连云港市,连云区,苍梧古道,119.338901,34.760317,
道路街巷类,连云港市,海州区,孔巷,119.136363,34.572903,
道路街巷类,连云港市,海州区,东大街石板路,119.140053,34.570392,
道路街巷类,连云港市,海州区,十字街,119.163492,34.572506,
道路街巷类,连云港市,东海县,马陵古道,118.752869,34.542194,
道路街巷类,连云港市,灌南县,悦来集街,119.352556,34.095768,
道路街巷类,淮安市,淮安区,府学街,119.148053,33.500655,
道路街巷类,淮安市,淮安区,驸马巷,119.142631,33.506724,
道路街巷类,淮安市,淮安区,东长街,119.148333,33.504161,
道路街巷类,淮安市,淮安区,老西门大街,119.141183,33.502960,
道路街巷类,淮安市,淮阴区,高堰老街,118.882255,33.424728,
道路街巷类,淮安市,淮阴区,安澜大街,119.132608,33.621238,
道路街巷类,淮安市,淮阴区,中市街,118.892986,33.699974,
道路街巷类,淮安市,清江浦区,都天庙街,119.032656,33.590340,
道路街巷类,淮安市,洪泽区,蒋坝老街,118.736555,33.104146,
道路街巷类,淮安市,盱眙县,宣化街,118.511001,33.014263,
道路街巷类,盐城市,阜宁县,青沟老街,119.532931,33.501755,
道路街巷类,盐城市,东台市,安丰古街,120.404832,32.728500,
道路街巷类,扬州市,广陵区,引市街,119.442342,32.386196,
道路街巷类,扬州市,广陵区,仁丰里,119.437048,32.391535,
道路街巷类,扬州市,广陵区,曹李巷,119.436710,32.389500,
道路街巷类,扬州市,广陵区,东关街,119.450049,32.397856,
道路街巷类,扬州市,广陵区,南河下,119.445029,32.383621,
道路街巷类,扬州市,广陵区,旌忠巷,119.435146,32.390451,
道路街巷类,扬州市,广陵区,东圈门,119.443894,32.395213,
道路街巷类,扬州市,广陵区,书院巷,119.430128,32.398095,
道路街巷类,扬州市,邗江区,竹西路,119.465752,32.422467,
道路街巷类,扬州市,江都区,邵伯中大街,119.519324,32.521422,
道路街巷类,扬州市,高邮市,大淖巷,119.458920,32.781606,
道路街巷类,扬州市,高邮市,南门大街,119.437456,32.770640,
道路街巷类,扬州市,高邮市,馆驿巷,119.440682,32.771373,
道路街巷类,镇江市,京口区,第一楼街,119.455550,32.207799,
道路街巷类,镇江市,京口区,老北门,119.463015,32.209265,
道路街巷类,镇江市,京口区,千秋桥街,119.455223,32.208821,
